Year,Month,monthly_anomaly,monthly_uncertainty,annual_anomaly,annual_uncertainty,five_year_anomaly,five_year_uncertainty,ten_year_anomaly,ten_year_uncertainty,twenty_year_anomaly,twenty_year_uncertainty
1763,8,-0.938,2.369,-1.363,1.299,-0.853,0.696,-1.150,0.620,-1.056,0.578
1763,9,-0.838,3.046,-1.197,1.205,-0.864,0.696,-1.145,0.619,-1.045,0.580
1763,10,NaN,NaN,-1.179,1.318,-0.864,0.708,-1.130,0.610,-1.041,0.578
1763,11,-3.371,2.826,NaN,NaN,-0.907,0.721,-1.127,0.620,-1.038,0.582
1763,12,-0.716,2.528,NaN,NaN,-0.985,0.708,-1.115,0.644,-1.017,0.581
1764,1,-2.849,2.501,-1.562,1.143,-1.090,0.709,-1.111,0.564,-1.035,0.586
1764,2,1.929,2.552,-1.600,1.128,-1.097,0.715,-1.132,0.574,-1.031,0.592
1764,3,-1.243,2.635,-1.692,1.144,-1.061,0.726,-1.138,0.580,-1.030,0.596
1764,4,NaN,NaN,-1.318,1.134,-1.024,0.724,-1.126,0.581,-1.031,0.596
1764,5,NaN,NaN,-1.097,1.121,-0.997,0.711,-1.122,0.583,-1.011,0.596
1764,6,-2.967,4.129,-0.797,1.095,-0.926,0.707,-1.109,0.584,-1.008,0.600
1764,7,-1.599,3.494,-0.660,1.038,-0.992,0.679,-1.087,0.576,-1.007,0.600
1764,8,-1.404,1.342,-0.771,0.984,-0.987,0.674,-1.077,0.573,-1.004,0.603
1764,9,-1.943,2.247,-0.633,1.013,-0.953,0.676,-1.070,0.570,-1.003,0.605
1764,10,1.367,2.411,-0.492,0.970,-0.971,0.682,-1.087,0.571,-0.998,0.607
1764,11,-0.720,2.116,-0.425,0.925,-1.001,0.684,-1.099,0.572,-1.000,0.613
1764,12,2.878,2.927,-0.433,1.050,-0.966,0.673,-1.083,0.568,-1.006,0.613
1765,1,-1.197,4.158,-0.403,1.069,-0.978,0.671,-1.076,0.563,-0.998,0.616
1765,2,0.592,2.868,-0.321,1.136,-0.957,0.687,-1.081,0.576,-0.986,0.618
1765,3,0.410,2.702,-0.211,1.146,-0.950,0.702,-1.091,0.593,-0.970,0.619
1765,4,0.228,1.682,-0.445,1.160,-0.918,0.706,-1.082,0.607,-0.973,0.621
